X,Y,Z
-2.025764310942721025e+01,2.016849435602717122e+01,-3.856435183881275464e+01
-2.039508433315048919e+01,2.115834610822681583e+01,-3.860045472912291586e+01
-2.088246770512269634e+01,2.028929618986983385e+01,-3.851554484672551837e+01
-2.111505656464350977e+01,1.937815610221504414e+01,-3.817535936335617208e+01
-2.076711996601806831e+01,2.027450438810042499e+01,-3.845013176686006773e+01
-2.032735431469153298e+01,2.117260152320843147e+01,-3.844486794466024548e+01
-1.974446182947169248e+01,2.096967202472365699e+01,-3.765806684570387830e+01
-1.978656293772669272e+01,2.015738593229070474e+01,-3.707632910348345945e+01
-1.937426186898387215e+01,2.102326143918076795e+01,-3.735964418476473270e+01
-1.943908198133203413e+01,2.082904391512627029e+01,-3.833845872612857875e+01
-1.963067538991143834e+01,2.176662849969601154e+01,-3.862867780297590770e+01
-1.927968205157755222e+01,2.256212451707970246e+01,-3.912263100194513754e+01
-1.954956354986723710e+01,2.166466616735001693e+01,-3.877372917136611363e+01
-1.910047175192215718e+01,2.250441773802240775e+01,-3.907890757258697079e+01
-1.870834875562358590e+01,2.335565167742912962e+01,-3.942767731923360230e+01
-1.949446244272180806e+01,2.394661880800840592e+01,-3.924661622034225417e+01
-1.894555175630286215e+01,2.478124907561015888e+01,-3.920090654151906051e+01
-1.822809560006649932e+01,2.532269103349102934e+01,-3.963919556730534310e+01
-1.870860632442872884e+01,2.452240778423889012e+01,-3.928050884502622608e+01
-1.831358718393595808e+01,2.536919770737841517e+01,-3.963674851815896005e+01
-1.789854430503843474e+01,2.620111241737119911e+01,-4.000506539799762606e+01
-1.804037795945200884e+01,2.531299288823110061e+01,-3.956788475291407536e+01
-1.818553265160962695e+01,2.439746367911635971e+01,-3.919273627217295086e+01
-1.776590881377977738e+01,2.522530906887418212e+01,-3.956501015707716817e+01
-1.810279612055752096e+01,2.436759977494074292e+01,-3.917662670012740733e+01
-1.900409543437609372e+01,2.442737566571747365e+01,-3.960567959872152954e+01
-1.928692347243765326e+01,2.355308404059270444e+01,-3.921118947828382773e+01
-1.984471540768514686e+01,2.295021285956291024e+01,-3.864073834448127798e+01
-1.900256819306584077e+01,2.347115336724976942e+01,-3.850142195506528253e+01
-1.867554159946749692e+01,2.389941329781417423e+01,-3.765901644763287948e+01
-1.956472870319646162e+01,2.354180943928507119e+01,-3.794443854721033205e+01
-2.039725561928744213e+01,2.318973737238941624e+01,-3.751671878650728331e+01
-2.006716910957823430e+01,2.383148785348686971e+01,-3.820896095231285727e+01
-2.006634673906712862e+01,2.366296253990243414e+01,-3.919465793535989206e+01
-2.043072358026681812e+01,2.454346035954743854e+01,-3.949789564277394760e+01
-2.068692460079303430e+01,2.365737631380095962e+01,-3.911161064312356928e+01
-2.021446351746567061e+01,2.431158906055357960e+01,-3.970219188793882381e+01
-2.076275619481582879e+01,2.353650895279525557e+01,-4.001623960170467598e+01
